科研机构名称,研究领域,省,市,县/区,中文文献数
江苏省环境科学研究院,环境科学,江苏省,南京市,鼓楼区,29
江苏省老年医学研究所,老年医学,江苏省,南京市,鼓楼区,0
江苏省宏图电子综合研究所有限公司,电子综合研究,江苏省,南京市,鼓楼区,0
江苏省化工信息中心有限公司,化工信息,江苏省,南京市,鼓楼区,0
江苏省粮食科学研究设计院有限公司,粮食科学,江苏省,南京市,建邺区,0
江苏省轻工业科学研究设计院有限公司,轻工业,江苏省,南京市,建邺区,0
江苏省中医临床研究院,中医,江苏省,南京市,秦淮区,0
江苏省临床医学研究院,临床医学,江苏省,南京市,秦淮区,0
江苏省广播电视科学研究所有限公司,广播电视科学,江苏省,南京市,秦淮区,0
江苏省地震工程研究院,地震工程,江苏省,南京市,玄武区,0
江苏省气象科学研究所(南京交通气象研究所）,气象科学,江苏省,南京市,玄武区,23
江苏省肿瘤防治研究所(江苏省肿瘤医院),肿瘤防治,江苏省,南京市,玄武区,32
江苏省农业机械研究所有限公司,农业机械,江苏省,南京市,玄武区,0
江苏省医药工业研究所有限公司,医药,江苏省,南京市,玄武区,0
江苏省化工机械研究所有限责任公司,化工机械研究,江苏省,南京市,雨花台区,0
江苏省机械研究设计院有限责任公司,机械研究,江苏省,南京市,雨花台区,0
江苏省医学生物制品研究所,医学生物制品,江苏省,南京市,江宁区,0
江苏省计算技术研究所有限责任公司,计算技术,江苏省,南京市,江宁区,0
江苏省冶金研究所有限公司,冶金,江苏省,南京市,六合区,0
江苏丘陵地区南京市农业科学研究所,农业,江苏省,南京市,栖霞区,0
江苏省化工研究所有限公司,化工研究,江苏省,南京市,栖霞区,0
江苏省微生物研究所有限责任公司,微生物,江苏省,无锡市,滨湖区,0
江苏省机电研究所有限公司,机电研究,江苏省,徐州市,贾汪区,0
江苏省煤矿研究所有限公司,煤矿,江苏省,徐州市,玄武区,0
上海船用柴油机研究所（中国船舶重工集团公司第七一一研究所）,船用柴油机,上海市,上海市,闵行区,37
中国科学院上海微小卫星创新研究院,微小卫星创新,上海市,上海市,浦东新区,0
中国科学技术大学上海研究院,量子工程,上海市,上海市,浦东新区,0
中国科学院上海脑科学与智能技术卓越创新中心（神经科学研究所）,脑科学与智能技术,上海市,上海市,松江区,0
中国科学院上海分子细胞科学卓越创新中心（生物化学与细胞生物学研究所）,分子细胞科学,上海市,上海市,徐汇区,0
中国科学院上海分子植物科学卓越创新中心（植物生理生态研究所）,生态研究,上海市,上海市,徐汇区,0
浙江省公共卫生研究院,医药卫生,浙江省,杭州市,滨江区,0
